id,repository,url,stars_snapshot,metadata_decision,source_status,review_stage,final_status,description_en,team_reason,limits_and_notes,tested
4544,Simpleyyt/ai-manus,https://github.com/Simpleyyt/ai-manus,1627,待README核验,candidate,team-second-pass,团队直接性不足,"A self-hosted agent system with task sandboxes, background sessions, and reusable skills.",团队可部署通用代理入口，查看或接管任务并复用交付附件。,团队可部署通用代理入口，查看或接管任务并复用交付附件。 K8s/Swarm 集群和移动/Windows 控制仍规划；登录不证明细粒度组织隔离。,False
4545,f/mcptools,https://github.com/f/mcptools,1626,待README核验,candidate,team-second-pass,工程组件另列,"A CLI for inspecting, testing, mocking, and proxying MCP servers.",集成团队可统一测试客户端/服务端和调试工具接口。,集成团队可统一测试客户端/服务端和调试工具接口。 工具调用可能有副作用；协议调试工具不构成完整访问治理。,False
4546,mattt/iMCP,https://github.com/mattt/iMCP,1625,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4547,NirDiamant/Controllable-RAG-Agent,https://github.com/NirDiamant/Controllable-RAG-Agent,1625,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4548,Intellindust-AI-Lab/DEIM,https://github.com/Intellindust-AI-Lab/DEIM,1624,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4549,Agents365-ai/video-podcast-maker,https://github.com/Agents365-ai/video-podcast-maker,1623,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4550,RinDig/icm-architect,https://github.com/RinDig/icm-architect,1623,待README核验,candidate,team-second-pass,方法技能另列,A skill for structuring workflows and knowledge as inspectable file-based agent workspaces.,团队可共享阶段、契约、人工关口和状态文件，便于交接。,团队可共享阶段、契约、人工关口和状态文件，便于交接。 文件结构方法不等于强制执行引擎或成员权限。,False
4551,pavlin-policar/openTSNE,https://github.com/pavlin-policar/openTSNE,1622,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4552,pixeltable/pixeltable,https://github.com/pixeltable/pixeltable,1622,待README核验,candidate,team-second-pass,工程组件另列,"A multimodal backend combining tables, computed transforms, indexing, and serving.",AI 团队可在统一代码中审阅数据处理、检索和服务定义。,AI 团队可在统一代码中审阅数据处理、检索和服务定义。 云服务有限 Beta；MCP/skill 另仓，运行资源仍需部署。,False
4553,timoschick/pet,https://github.com/timoschick/pet,1622,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4554,intel/auto-round,https://github.com/intel/auto-round,1621,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4555,activeloopai/hivemind,https://github.com/activeloopai/hivemind,1619,待README核验,candidate,commercial-pass-001,方法技能另列,A shared agent-memory system that captures traces and turns team experience into reusable skills.,工程师的代理经验可在团队工作空间内检索和复用。,工程师的代理经验可在团队工作空间内检索和复用。 默认云后端；同工作空间所有用户可读捕获数据，支持退出采集；BYOC 不等于整个控制服务本地。,False
4556,aimacode/aima-java,https://github.com/aimacode/aima-java,1619,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4557,csinva/imodels,https://github.com/csinva/imodels,1619,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4558,irinabuht12-oss/marketing-skills,https://github.com/irinabuht12-oss/marketing-skills,1619,待README核验,candidate,team-second-pass,方法技能另列,"Marketing skills for advertising audits, SEO, and campaign analysis.",营销团队可统一广告诊断和内容优化方法。,营销团队可统一广告诊断和内容优化方法。 依赖托管连接器，不是独立广告数据服务；外链技能总数与仓库数量不应混用。,False
4559,joaomilho/Enterprise,https://github.com/joaomilho/Enterprise,1619,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
4560,justmarkham/DAT8,https://github.com/justmarkham/DAT8,1619,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4561,llm2014/llm_benchmark,https://github.com/llm2014/llm_benchmark,1619,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4562,Pickle-Pixel/ApplyPilot,https://github.com/Pickle-Pixel/ApplyPilot,1619,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4563,yossdotpro/removerized,https://github.com/yossdotpro/removerized,1619,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4564,simonlin1212/global-stock-data,https://github.com/simonlin1212/global-stock-data,1618,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
4565,stanford-oval/WikiChat,https://github.com/stanford-oval/WikiChat,1618,待README核验,candidate,team-second-pass,团队直接性不足,"A Wikipedia-grounded chatbot with retrieval, inline citations, and optional multi-user deployment.",团队可搭建有引用的知识问答入口并保存用户会话。,团队可搭建有引用的知识问答入口并保存用户会话。 主要围绕 Wikipedia，不是任意企业知识库；不保证完全无幻觉。,False
4566,ray-r-ren/agent-apprenticeship,https://github.com/ray-r-ren/agent-apprenticeship,1617,待README核验,secondary,,secondary,,,同时提到人工评估和可复用工作经验，核验真实交付流程与成熟度。,False
4567,Norsico/Video-Materials-AutoGEN-Workstation,https://github.com/Norsico/Video-Materials-AutoGEN-Workstation,1616,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4568,open-gigaai/giga-world-0,https://github.com/open-gigaai/giga-world-0,1616,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4569,wangzhaode/mnn-llm,https://github.com/wangzhaode/mnn-llm,1616,需去重核验,not-priority,,not-priority,,,简介明确已并入MNN，核对上游入口，不重复推荐历史子项目。,False
4570,cdipaolo/goml,https://github.com/cdipaolo/goml,1615,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4571,modelcontextprotocol/php-sdk,https://github.com/modelcontextprotocol/php-sdk,1615,需去重核验,candidate,team-second-pass,工程组件另列,The official PHP SDK for implementing MCP clients and servers.,PHP 团队可复用工具、资源、会话和授权协议实现。,PHP 团队可复用工具、资源、会话和授权协议实现。 首个 major 前仍 experimental；新贡献 Apache、既有代码 MIT。,False
4572,royshil/obs-localvocal,https://github.com/royshil/obs-localvocal,1615,待README核验,candidate,team-second-pass,团队直接性不足,An OBS plugin for local speech transcription and translation.,内容与直播团队可在本地生成字幕及翻译，复用现有 OBS 流程。,内容与直播团队可在本地生成字幕及翻译，复用现有 OBS 流程。 不是会议协作平台；语言质量和性能未测，模型需另获取。,False
4573,dotnet/infer,https://github.com/dotnet/infer,1614,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4574,IdeasOnCanvas/Aiolos,https://github.com/IdeasOnCanvas/Aiolos,1614,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
4575,OpenOSINT/OpenOSINT,https://github.com/OpenOSINT/OpenOSINT,1614,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
4576,aws-samples/aws-machine-learning-university-accelerated-cv,https://github.com/aws-samples/aws-machine-learning-university-accelerated-cv,1613,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4577,koreainvestment/open-trading-api,https://github.com/koreainvestment/open-trading-api,1613,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
4578,UbiquitousLearning/mllm,https://github.com/UbiquitousLearning/mllm,1613,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4579,MLGroupJLU/LLM-eval-survey,https://github.com/MLGroupJLU/LLM-eval-survey,1611,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4580,NVlabs/sionna,https://github.com/NVlabs/sionna,1611,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4581,sandeco/reversa,https://github.com/sandeco/reversa,1611,待README核验,candidate,team-second-pass,方法技能另列,A framework for extracting traceable specifications from legacy code for agent-driven development.,研发团队可沉淀遗留业务规则、ADR 和模块契约，支持交接与改造。,研发团队可沉淀遗留业务规则、ADR 和模块契约，支持交接与改造。 提取规格需人核验；代理 Teams 不等于组织权限。,False
4582,web-arena-x/webarena,https://github.com/web-arena-x/webarena,1610,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4583,repplus/rep-chrome,https://github.com/repplus/rep-chrome,1609,待README核验,candidate,team-second-pass,团队直接性不足,A Chrome DevTools extension for HTTP inspection and replay with LLM assistance.,开发安全团队可共享请求样本和脱敏截图，辅助调试分析。,开发安全团队可共享请求样本和脱敏截图，辅助调试分析。 本地浏览器扩展；扫描范围有限，调用 LLM 的数据路径需配置，未运行测试。,False
4584,deepseek-ai/DeepSeek-Math-V2,https://github.com/deepseek-ai/DeepSeek-Math-V2,1607,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4585,rulego/rulego,https://github.com/rulego/rulego,1607,待README核验,candidate,team-second-pass,工程组件另列,A Go rule engine for composable data workflows and agent integrations.,工程团队可复用可动态配置的业务规则与数据编排。,工程团队可复用可动态配置的业务规则与数据编排。 通用规则引擎；Tpclaw 和审批 GFlow 为关联产品，不全属于核心。,False
4586,AMAP-ML/LongHorizon-Harness,https://github.com/AMAP-ML/LongHorizon-Harness,1606,待README核验,candidate,team-second-pass,团队直接性不足,A persistent execution loop for coding and computer-use agents with verification and checkpoints.,团队可查看长期任务进展、审批和恢复证据，支持多阶段交付。,团队可查看长期任务进展、审批和恢复证据，支持多阶段交付。 DeepSeek 当前 phase1 CLI，GUI/MCP 待后续；长时成功率未测。,False
4587,JustGlowing/minisom,https://github.com/JustGlowing/minisom,1606,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4588,chandrikadeb7/Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,1605,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4589,shiwenwen/hope-agent,https://github.com/shiwenwen/hope-agent,1605,待README核验,candidate,team-second-pass,团队直接性不足,"A local-first desktop agent with persistent workflows, knowledge spaces, and messaging integrations.",可通过飞书文档、多维表格、知识库等工具协助团队业务操作。,可通过飞书文档、多维表格、知识库等工具协助团队业务操作。 总体仍定位个人代理；跨端同一会话不等于多人权限，云模式需配置。,False
4590,semaphoreio/semaphore,https://github.com/semaphoreio/semaphore,1604,待README核验,not-priority,,not-priority,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4591,sobelio/llm-chain,https://github.com/sobelio/llm-chain,1604,待README核验,candidate,team-second-pass,工程组件另列,"Rust crates for prompt templates, multi-step chains, tools, and vector-store integrations.",Rust 团队可复用 LLM 应用基础组件。,Rust 团队可复用 LLM 应用基础组件。 模型示例较早；不等同完整 LLMOps 管理平台。,False
4592,attify/firmware-analysis-toolkit,https://github.com/attify/firmware-analysis-toolkit,1603,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
4593,AetherCortex/Llama-X,https://github.com/AetherCortex/Llama-X,1602,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4594,LYiHub/mad-professor-public,https://github.com/LYiHub/mad-professor-public,1602,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4595,spotify/voyager,https://github.com/spotify/voyager,1602,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4596,ponysb/91Writing,https://github.com/ponysb/91Writing,1601,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4597,punkpeye/mcp-remote,https://github.com/punkpeye/mcp-remote,1601,待README核验,candidate,team-second-pass,工程组件另列,A bridge from stdio-only MCP clients to remote servers with authentication support.,团队可让旧客户端接入统一远程 MCP 服务。,团队可让旧客户端接入统一远程 MCP 服务。 原生支持远程认证的客户端可不需要此桥；旧客户端兼容说明需按版本确认。,False
4598,AlibabaResearch/DAMO-ConvAI,https://github.com/AlibabaResearch/DAMO-ConvAI,1600,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4599,Kaelio/ktx,https://github.com/Kaelio/ktx,1600,待README核验,candidate,team-second-pass,团队直接性不足,"A context layer for data agents using metric definitions, joins, and business knowledge.",数据团队可沉淀统一指标和 wiki 知识，减少代理重复探索数仓。,数据团队可沉淀统一指标和 wiki 知识，减少代理重复探索数仓。 效果依赖数据和上下文质量，不能保证查询准确；非业务权限系统。,False
4600,enoch3712/ExtractThinker,https://github.com/enoch3712/ExtractThinker,1599,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
4601,HamletDuFromage/aio-switch-updater,https://github.com/HamletDuFromage/aio-switch-updater,1599,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
4602,Joooook/12306-mcp,https://github.com/Joooook/12306-mcp,1599,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
4603,kotaro-kinoshita/yomitoku,https://github.com/kotaro-kinoshita/yomitoku,1599,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
4604,actionbook/actionbook,https://github.com/actionbook/actionbook,1598,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4605,hhhuang/CAG,https://github.com/hhhuang/CAG,1598,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4606,alibaba/Pai-Megatron-Patch,https://github.com/alibaba/Pai-Megatron-Patch,1597,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4607,AminForou/mcp-gsc,https://github.com/AminForou/mcp-gsc,1597,待README核验,candidate,team-second-pass,团队直接性不足,An MCP server for analyzing Google Search Console data with AI assistants.,SEO 团队可共用服务账号集成及索引、表现分析工具。,SEO 团队可共用服务账号集成及索引、表现分析工具。 GA4 与更高级一键接入属于另行托管版本；沿用 GSC 权限。,False
4608,DeadWaveWave/opencove,https://github.com/DeadWaveWave/opencove,1597,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4609,datagouv/datagouv-mcp,https://github.com/datagouv/datagouv-mcp,1595,待README核验,candidate,team-second-pass,工程组件另列,An MCP server for discovering and analyzing French public datasets.,研究数据团队可用统一入口查询数据集、资源、发布机构与许可。,研究数据团队可用统一入口查询数据集、资源、发布机构与许可。 服务器许可不替代各数据集条款；分析准确性未测。,False
4610,isaacphi/mcp-language-server,https://github.com/isaacphi/mcp-language-server,1595,待README核验,candidate,team-second-pass,工程组件另列,An MCP bridge exposing language-server navigation and diagnostics to agents.,研发团队可使助手利用定义、引用、重命名及诊断信息。,研发团队可使助手利用定义、引用、重命名及诊断信息。 需独立 language server；重命名可改文件，未执行。,False
4611,qnguyen3/chat-with-mlx,https://github.com/qnguyen3/chat-with-mlx,1595,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4612,SalesforceAIResearch/uni2ts,https://github.com/SalesforceAIResearch/uni2ts,1595,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4613,t59688/arboris-novel,https://github.com/t59688/arboris-novel,1595,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4614,Flux159/mcp-server-kubernetes,https://github.com/Flux159/mcp-server-kubernetes,1594,待README核验,candidate,team-second-pass,工程组件另列,An MCP server for Kubernetes and Helm operations with optional telemetry.,运维团队可把集群上下文和管理能力接入助手。,运维团队可把集群上下文和管理能力接入助手。 non-destructive 仍允许创建/更新，不等于只读；权限取决于 kubeconfig。,False
4615,RamiAwar/dataline,https://github.com/RamiAwar/dataline,1594,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4616,samim23/polymath,https://github.com/samim23/polymath,1594,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4617,Augani/dory,https://github.com/Augani/dory,1593,待README核验,candidate,team-second-pass,团队直接性不足,"A macOS development environment for containers, Kubernetes, Linux VMs, and agent sandboxes.",工程团队可统一本地运行环境及代理执行边界。,工程团队可统一本地运行环境及代理执行边界。 当前仅 Apple Silicon 已验证，Intel 待硬件验证；GPL，隔离效果未测。,False
4618,Babyhamsta/Aimmy,https://github.com/Babyhamsta/Aimmy,1593,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4619,pedrohcgs/claude-code-my-workflow,https://github.com/pedrohcgs/claude-code-my-workflow,1593,待README核验,candidate,team-second-pass,方法技能另列,"Reusable workflows for research writing, data analysis, and reproducibility review.",研究团队可共享论文、课件和数字结论追溯规范。,研究团队可共享论文、课件和数字结论追溯规范。 并非自主 daemon，循环由用户/技能发起；质量门效果未实测。,False
4620,google/uncertainty-baselines,https://github.com/google/uncertainty-baselines,1592,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4621,lyuchenyang/Macaw-LLM,https://github.com/lyuchenyang/Macaw-LLM,1592,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4622,pipecat-ai/smart-turn,https://github.com/pipecat-ai/smart-turn,1592,待README核验,secondary,,secondary,,,smart-turn无简介，需核实是语音模型还是工作流组件。,False
4623,kaushikb11/awesome-llm-agents,https://github.com/kaushikb11/awesome-llm-agents,1591,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4624,rmyndharis/antigravity-skills,https://github.com/rmyndharis/antigravity-skills,1591,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4625,microsoft/Semi-supervised-learning,https://github.com/microsoft/Semi-supervised-learning,1590,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4626,business-science/awesome-generative-ai-data-scientist,https://github.com/business-science/awesome-generative-ai-data-scientist,1589,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4627,waybarrios/vllm-mlx,https://github.com/waybarrios/vllm-mlx,1589,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4628,byjlw/video-analyzer,https://github.com/byjlw/video-analyzer,1588,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4629,currentslab/awesome-vector-search,https://github.com/currentslab/awesome-vector-search,1588,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4630,D-Star-AI/dsRAG,https://github.com/D-Star-AI/dsRAG,1588,待README核验,candidate,team-second-pass,工程组件另列,"A retrieval engine using semantic sections, contextual headers, and relevant-segment extraction.",知识工程团队可复用复杂文档检索和上下文组织。,知识工程团队可复用复杂文档检索和上下文组织。 benchmark 高准确率不代表所有业务语料；框架不带成员权限。,False
4631,joypad-ai/joypad-os,https://github.com/joypad-ai/joypad-os,1588,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
4632,capitalone/DataProfiler,https://github.com/capitalone/DataProfiler,1587,待README核验,candidate,team-second-pass,工程组件另列,"A Python library for data profiling, monitoring, and learned sensitive-data detection.",数据治理团队可统一 schema、统计特征和 PII/NPI 检测。,数据治理团队可统一 schema、统计特征和 PII/NPI 检测。 reports 精简安装禁用默认敏感数据识别；检测不能保证无遗漏。,False
4633,edbeeching/godot_rl_agents,https://github.com/edbeeching/godot_rl_agents,1587,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4634,NousResearch/autonovel,https://github.com/NousResearch/autonovel,1587,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
4635,GBSOSS/skill-from-masters,https://github.com/GBSOSS/skill-from-masters,1586,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4636,ai-forever/ghost,https://github.com/ai-forever/ghost,1585,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4637,MiniMax-AI/MiniMax-MCP,https://github.com/MiniMax-AI/MiniMax-MCP,1585,需去重核验,candidate,team-second-pass,工程组件另列,"An official MCP integration for MiniMax speech, image, and video APIs.",内容团队可在代理流程中复用多媒体生成接口。,内容团队可在代理流程中复用多媒体生成接口。 依赖模型 API 和对应区域凭据；较新额外能力推荐 CLI，不全在本服务器。,False
4638,Pluviobyte/rnskill,https://github.com/Pluviobyte/rnskill,1585,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4639,zzet/gortex,https://github.com/zzet/gortex,1585,待README核验,candidate,team-second-pass,团队直接性不足,"A multi-repository code-intelligence graph with CLI, MCP, and review tools.",研发团队可追踪跨服务引用、变更影响与 PR 审阅依据。,研发团队可追踪跨服务引用、变更影响与 PR 审阅依据。 语言支持按不同解析层次区分；token 倍数与解析正确性未测。,False
4640,RWKV/rwkv.cpp,https://github.com/RWKV/rwkv.cpp,1584,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4641,finic-ai/rag-stack,https://github.com/finic-ai/rag-stack,1583,待README核验,secondary,,secondary,,,明确公司知识库与VPC私有问答，核验维护状态和多人能力。,False
4642,jina-ai/thinkgpt,https://github.com/jina-ai/thinkgpt,1583,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4643,johanohly/AirTrail,https://github.com/johanohly/AirTrail,1583,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
4644,HarnessRouter/harnessrouter,https://github.com/HarnessRouter/harnessrouter,1582,待README核验,candidate,team-second-pass,工程组件另列,A unified API for running agent harnesses with persistent sessions and structured results.,产品团队可替换编码后端，统一任务进度、产物、取消和错误处理。,产品团队可替换编码后端，统一任务进度、产物、取消和错误处理。 社区 Apache 不替代安装的上游 CLI 条款；成本/性能依任务。,False
4645,svnscha/mcp-windbg,https://github.com/svnscha/mcp-windbg,1582,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
4646,alchaincyf/huashu-skills,https://github.com/alchaincyf/huashu-skills,1581,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4647,BAI-LAB/MemoryOS,https://github.com/BAI-LAB/MemoryOS,1581,待README核验,candidate,team-second-pass,团队直接性不足,A modular memory framework and MCP interface for personalized agents.,开发团队可复用存储、更新、检索和生成的记忆组件。,开发团队可复用存储、更新、检索和生成的记忆组件。 主要针对个性化代理；研究基准不保证组织知识治理，详细文档有待补充。,False
4648,openilink/openilink-hub,https://github.com/openilink/openilink-hub,1580,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
4649,steedos/steedos-platform,https://github.com/steedos/steedos-platform,1580,待README核验,candidate,team-second-pass,工程组件另列,A metadata-driven enterprise platform evolving toward AI-generated schemas and interfaces.,团队可复用字段级权限、业务模块和工作流底座。,团队可复用字段级权限、业务模块和工作流底座。 架构迁移中，v2仍支持而新开发聚焦 ObjectStack；新旧能力不可混为已完整迁移。,False
4650,syv-ai/HyperQwen,https://github.com/syv-ai/HyperQwen,1580,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
4651,EtienneLescot/n8n-as-code,https://github.com/EtienneLescot/n8n-as-code,1579,待README核验,candidate,team-second-pass,方法技能另列,An editor and GitOps toolkit for AI-assisted n8n workflow development.,自动化团队可版本化工作流、审阅差异和解决同步冲突。,自动化团队可版本化工作流、审阅差异和解决同步冲突。 独立社区项目；需匹配 n8n 节点 schema，第三方模板各自许可。,False
4652,mukul975/cve-mcp-server,https://github.com/mukul975/cve-mcp-server,1579,待README核验,candidate,team-second-pass,工程组件另列,An MCP server aggregating vulnerability intelligence and evidence-based triage.,安全团队统一关联 CVE、利用风险、补丁与情报来源。,安全团队统一关联 CVE、利用风险、补丁与情报来源。 风险分数是项目方法，不替代组织修复决策；部分来源需 key/注册。,False
