rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
165,1142,firerpa/lamda,FIRERPA Android,https://github.com/firerpa/lamda,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,An Android automation platform with MCP access and collaborative remote debugging.,明确多人并发远程访问，团队共同查看设备、验证选择器和调试自动化。,"testing, collaboration, mcp",设备服务、客户端及授权边界需分别确认；未实测并发隔离。,README L16-28,8354,,,,,,,,,,False
166,1168,microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,Mastering GitHub Copilot,https://github.com/microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"An official course on agent-assisted planning, implementation, testing, and iteration.",团队采用同一练习和流程培训成员，统一 AI 编码基本方法。,"learning, onboarding",课程不是产品；Copilot 访问另需授权，未运行课程。,README L4-6、课程表,8125,,,,,,,,,,False
167,1190,hatchet-dev/hatchet,Hatchet,https://github.com/hatchet-dev/hatchet,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A durable task platform with shared monitoring, roles, and multi-tenant execution.",多个团队在同一实例管理队列、运行与告警，用角色分配访问。,"workflow, operations, governance",SSO 与多区等为 Cloud 功能。,README L31、features L78-90,7976,,,,,,,,,,False
168,1276,genspark-ai/genoffice,GenOffice,https://github.com/genspark-ai/genoffice,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,An AI-assisted Office editor with native files and inspectable document changes.,团队成员可检查 AI 文档改动后交付真实 Office 文件，也可通过 MCP 复用处理能力。,"documents, review, handoff",人机共编不等于真人实时协作；ee 为未来商业模块，网络服务需 token。,README L33-37、MCP HTTP、License,7342,,,,,,,,,,False
169,1278,AgentDeskAI/browser-tools-mcp,Browser Tools MCP,https://github.com/AgentDeskAI/browser-tools-mcp,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,Connect browser diagnostics and audits to coding agents.,开发与测试共享浏览器日志和审计上下文。,"mcp, debugging",浏览器插件与 MCP 工具，不是团队权限平台。,README L3–6、103–109：控制台、网络、截图和审计。,7325,,,,,,,,,,False
170,1319,Gentleman-Programming/gentle-ai,Gentle AI,https://github.com/Gentleman-Programming/gentle-ai,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,A shared engineering workflow with persistent state and review evidence.,用文件状态统一成员和不同智能体的规范开发与评审流程。,"ai-native, engineering",各集成能力不同；咨询服务与开源代码分开。,README L145、165、262：确定性状态、跨智能体工作流及团队采用。,7073,,,,,,,,,,False
171,1387,Nasiko-Labs/nasiko,Nasiko,https://github.com/Nasiko-Labs/nasiko,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A control plane for deploying, securing, and observing A2A agents.",平台团队集中管理智能体调用、凭据、工具权限和链路追踪。,"agents, infrastructure",部署基础设施，不是多人业务协作前端；隔离未实测。,README L97–122：控制面、ACL、追踪与 MCP 网关。,6666,,,,,,,,,,False
172,1518,rivet-dev/actors,Rivet Actors,https://github.com/rivet-dev/actors,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"Stateful actors for agents, durable workflows, and collaborative applications.",研发团队构建持久会话及多人文档同步的共同后端。,"infrastructure, collaboration",后端原语，不是开箱即用文档产品；与其他同名 Rivet 区分。,README L10–23、65–86：状态、持久化和协作文档。,6153,,,,,,,,,,False
173,1520,lightdash/lightdash,Lightdash,https://github.com/lightdash/lightdash,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"Governed analytics with AI agents, shared metrics, and Git-based delivery.",数据与业务团队共用指标语义和权限，并通过 PR、CI 评审分析变更。,"analytics, teams, ai-native",可自建核心 BI；AI 与企业产品介绍不能全部归入免费核心。,README L22–24、36–42、66、92：团队流程与企业许可。,6145,,,,,,,,,,False
174,1596,oomol-lab/open-connector,OpenConnector,https://github.com/oomol-lab/open-connector,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A connector gateway for agent tools, account authorization, and execution logs.",平台团队统一管理业务系统连接、权限范围和调用记录。,"mcp, integrations",自建需自行管理 OAuth 应用和存储；第三方服务权益不由仓库许可授予。,README L19–48、132–134：共享动作目录、自建与托管分工。,5842,,,,,,,,,,False
175,1740,BuilderIO/agent-native,Agent-Native,https://github.com/BuilderIO/agent-native,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"Build agent applications with shared actions, data, and user interfaces.",人与智能体使用同一验证和权限实现，共同处理应用数据。,"ai-native, framework",TypeScript 开发框架，不是即装即用业务协作系统。,README L18、36–38、68：共享动作、状态及认证。,5246,,,,,,,,,,False
176,1765,github/gh-aw,GitHub Agentic Workflows,https://github.com/github/gh-aw,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Define reviewable repository automation in Markdown and run it through GitHub Actions.,团队版本管理 issue 分流、PR 审查和文档维护规则，并控制写入权限。,"automation, engineering",补充而不替代确定性 CI；权限可配置，默认约束不是绝对保证。,README L16–20、49–53：编译工作流、只读默认与 safe outputs。,5159,,,,,,,,,,False
177,1786,tencentmusic/supersonic,SuperSonic,https://github.com/tencentmusic/supersonic,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Combine conversational analytics with governed semantic data models.,分析工程师维护共用指标语义，业务成员据此问数和查看图表。,"analytics, teams",需先搭建语义模型；减少幻觉是设计目标，非正确率保证。,README L7–14、31–34：Chat BI、Headless BI 和角色分工。,5101,,,,,,,,,,False
178,1843,aipotheosis-labs/aci,ACI.dev,https://github.com/aipotheosis-labs/aci,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,A tool-calling platform with multi-tenant authentication and granular permissions.,平台团队集中管理业务工具授权，为内部智能体提供统一调用层。,"integrations, governance",统一 MCP 服务和 Python SDK 另仓；自然语言权限效果未实测。,README L24–26、52–65：多租户认证、权限及发现。,4896,,,,,,,,,,False
179,1852,darrenhinde/OpenAgentsControl,OpenAgents Control,https://github.com/darrenhinde/OpenAgentsControl,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Share project coding patterns and approval workflows with OpenCode agents.,团队把标准提交到项目上下文目录，新成员和智能体沿用同一约定。,"standards, engineering",方法和代理配置，不保证每次同等质量；对竞品比较未采信。,README L32、69–78、264–268：OpenCode 扩展、共享上下文与审批。,4866,,,,,,,,,,False
180,1910,mattpocock/dictionary-of-ai-coding,AI Coding Dictionary,https://github.com/mattpocock/dictionary-of-ai-coding,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Plain-language definitions for AI coding concepts.,帮助团队统一上下文、会话、工具和权限术语，减少沟通误解。,"learning, reference",学习参考；本次核验范围，不逐条背书全部解释。,README L17–29、332–336：词典定位与 harness 解释。,4714,,,,,,,,,,False
181,1992,CaviraOSS/LongMemory,LongMemory,https://github.com/CaviraOSS/LongMemory,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,A persistent agent memory engine with provenance and scoped retrieval.,团队应用可按项目、租户、成员和角色检索知识，并保留历史来源。,"memory, governance",治理与检索效果未实测；独立 n8n 节点采用不同许可。,README L17、27–31、177–179、466：治理、时序与许可。,4510,,,,,,,,,,False
182,1995,IBM/mcp-context-forge,ContextForge,https://github.com/IBM/mcp-context-forge,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A registry and gateway that unifies MCP tools, agents, and APIs with centralized governance and observability.",平台团队集中发布工具入口、鉴权限流和追踪；跨网关传递用户身份与 RBAC 上下文。,"mcp, gateway, governance, observability",工程网关，不是聊天协作平台；未验证多集群和第三方插件行为。,README L20-28、L452-457、L747-755,4504,,,,,,,,,,False
183,2069,archestra-ai/archestra,Archestra,https://github.com/archestra-ai/archestra,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"An enterprise AI platform with chat, tool governance, and team cost tracking.",团队统一助手、个人身份工具授权、私有 MCP 目录、SSO/RBAC 与费用。,"ai-native, teams, governance",Open Core；README 免费范围为不足 30 人团队，企业许可另计。,README L32–73、118：用户入口、团队同步与成本。,4287,,,,,,,,,,False
184,2247,nowork-studio/notfair-plugin,NotFair Plugin,https://github.com/nowork-studio/notfair-plugin,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"Reusable marketing skills with campaign, analytics, and review workflows.",营销团队共享 SEO、广告预算和内容操作规范，形成可审阅的变更。,"skills, marketing",技能不是成品营销系统；需授权外部账号，未验证投放效果。,README L8–25、134：营销流程、预算审批和团队适配。,3835,,,,,,,,,,False
185,2263,yetone/cumora,Cumora,https://github.com/yetone/cumora,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"Team chat where people and persistent AI agents share conversations, task boards, and calendars.",真人与智能体使用同一成员表、群聊、私信、看板和日历，可以认领任务并延续记忆。,"ai-native, collaboration, agents, tasks",iOS beta；Android 未发布需自建；BYOA 各引擎沙箱边界不同，不能都描述成默认隔离。,README L7、L18-25、L61；官方 LICENSE,3810,2026-09-21T16:15:06.022239+00:00,3831,False,2026-09-21T14:09:26Z,MIT,https://github.com/yetone/cumora/blob/main/README.md,ef532a89e15615bce13a5665bbc77ab6c9f770acfd568124a12e3e032b7da2ce,https://github.com/yetone/cumora/blob/main/LICENSE,79d2c8444715d4bc453ec4f8a0aaf2051a4c1ee5ac08f5bd2e5848aef87c7572,False
186,2292,pipeshub-ai/pipeshub-ai,PipesHub,https://github.com/pipeshub-ai/pipeshub-ai,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Permission-aware workplace search and agent context with source citations and enterprise connectors.,将 Slack、Drive、GitHub、Microsoft 365 等组织资料统一检索，并按用户源权限返回可引用答案。,"knowledge, search, mcp, self-hosted",按团队/角色/历史的个性化搜索仍在待办；是否出网取决于选择的模型供应商，不照搬绝不出网宣传。,README L75-89、L168-189、L253-257,3762,,,,,,,,,,False
187,2388,ericosiu/ai-marketing-skills,AI Marketing Skills by Eric Siu,https://github.com/ericosiu/ai-marketing-skills,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Reusable marketing and sales workflows with reviews and measurement.,营销销售团队共享内容质检、实验计分、审批和会议行动项流程。,"skills, marketing",技能集合非独立平台；收入与固定内容评分承诺未验证。,README L3–25：团队受众、draft-first 控制环和 Team Ops。,3555,,,,,,,,,,False
188,2586,openclaw/acpx,acpx,https://github.com/openclaw/acpx,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,A headless ACP client for persistent sessions and structured agent automation.,工具团队用同一接口连接不同编码代理，管理会话、权限与机器可读输出。,"protocol, automation",pre-1.0 接口可能变化；shared runtime 是本地会话共享而非真人多租户。,README L13、25、46、75–90：ACP 客户端与会话所有者。,3267,,,,,,,,,,False
189,2600,AprilNEA/AChat,AChat,https://github.com/AprilNEA/AChat,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A self-hosted AI conversation platform designed for teams.,团队集中整理 AI 对话、成员角色、权限和使用成本。,"chat, teams",仅 README 能力声明，未核验同步冲突、权限粒度和部署成熟度。,README L6、34–45：企业团队定位与明确功能。,3256,,,,,,,,,,False
190,2623,Josh-XT/AGiXT,AGiXT,https://github.com/Josh-XT/AGiXT,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,An AI automation platform with integrations and multi-tenant support.,团队统一业务工具和模型接入，组合服务执行工作流。,"automation, teams",根文档概述，未核验合规宣称或细粒度企业功能。,完整 README L17–30：自动化、OAuth、多租户与实时集成。,3216,,,,,,,,,,False
191,2653,dosco/graphjin,GraphJin,https://github.com/dosco/graphjin,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Expose governed data and workflow access to agents through GraphQL and MCP.,团队统一业务系统查询、调用者权限、可追踪动作及持续问题监测。,"data, governance",GraphQL 联邦 _entities 仍计划中；治理效果未实测，非所有配置默认只读。,README L10–24、258：编译运行时、权限与执行记录。,3172,,,,,,,,,,False
192,2725,microsoft/Generative-AI-for-beginners-dotnet,Generative AI for Beginners .NET,https://github.com/microsoft/Generative-AI-for-beginners-dotnet,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Practical lessons for building generative AI applications with .NET.,.NET 团队可统一学习本地模型、代理工具和云部署的工程方式。,"learning, dotnet",课程非产品；本地和托管场景区别，未执行所有样例。,README L3、21、35–45、77：实践课程与版本更新。,3079,,,,,,,,,,False
193,2740,rishikanthc/Scriberr,Scriberr,https://github.com/rishikanthc/Scriberr,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,Transcribe recordings locally and query or summarize their transcripts.,团队成员将会议或访谈变成可复核文字，再形成摘要与知识材料。,"transcription, knowledge",作者声明未放弃并计划恢复，未验证实际发布节奏；接入云模型后并非完全离线。,README L8、25–30、55–64：转写、说话人区分和摘要。,3059,,,,,,,,,,False
194,2747,swirlai/swirl-search,SWIRL Community,https://github.com/swirlai/swirl-search,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,Federated search and cited AI answers across existing workplace data sources.,团队按来源系统权限搜索分散资料，减少另建知识副本的维护。,"search, knowledge, teams",MCP、三段重排、固定答案和幻觉提醒属于 Enterprise；数据不复制不等于模型不接收检索内容。,README L21–25、79–105：实时联合检索、权限与版本比较。,3045,,,,,,,,,,False
195,2850,intellectronica/ruler,Ruler,https://github.com/intellectronica/ruler,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Centralize and distribute coding-agent instructions across tools.,团队维护一份规则，成员拉取后同步到各编码工具，减少配置漂移。,"configuration, engineering",Beta Research Preview；配置同步不等于强制执行组织策略。,README L28–41、1064–1068：Beta、团队标准化。,2934,,,,,,,,,,False
196,2876,rilldata/rill,Rill,https://github.com/rilldata/rill,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,Build governed analytics from YAML and SQL for people and agents.,数据团队维护共同指标语义，业务成员与 AI 使用一致分析定义。,"analytics, teams",本地已有行级访问策略；Conversational BI、MCP 和托管部署列于 Cloud，不能全归本地版。,README L69–83、Cloud 能力：BI-as-code、语义层与问数。,2907,,,,,,,,,,False
197,2889,langchain-ai/langchain-academy,LangChain Academy,https://github.com/langchain-ai/langchain-academy,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Official lessons for building and deploying LangGraph agents.,团队系统学习有状态代理与部署，建立一致实现方式。,"learning, agents",课程不是生产服务，依赖模型及部分外部服务，未逐课运行。,完整 README L5–8：模块、notebooks 与 Studio 图。,2891,,,,,,,,,,False
198,2902,op7418/Claude-to-IM-skill,Claude-to-IM Skill,https://github.com/op7418/Claude-to-IM-skill,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Control coding-agent sessions through messaging channels with approvals.,成员可在团队消息工具接收进度、批准工具调用并接续任务。,"integrations, engineering",QQ 仅私聊、微信单账号；渠道接入不能等同多人组织授权。,README L3、13、25–30、266–276：IM 桥与权限。,2881,,,,,,,,,,False
199,2934,whylabs/whylogs,whylogs,https://github.com/whylabs/whylogs,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Profile datasets and validate data quality for ML workflows.,数据科学与工程团队共享分布摘要、约束和漂移线索，支持审计与训练排错。,"data-quality, mlops",记录库非完整 WhyLabs 平台；摘要检测不保证覆盖全部数据问题。,官方 Python README L38–51：profiles、数据质量与组织治理。,2833,,,,,,,,,,False
200,2959,GerevAI/gerev,Gerev,https://github.com/GerevAI/gerev,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Search organizational conversations and documents with AI assistance.,成员跨业务工具查找内部知识，减少求助同事和重复搜索。,"search, knowledge",GitHub Enterprise、Microsoft Teams 等仍未勾选；Klu 托管链接不等于此仓全部功能。,README L14–17、Integrations、78：组织搜索和自建多用户。,2809,,,,,,,,,,False
